UF,MUNICIPIO,DESCRICAO_ORGAO,UNIDADE,SIGLA,CAMPUS,NOME_DA_OBRA,ID,SITUACAO_DA_OBRA,PORCENTAGEM_DE_EXECUCAO,INICIO_EXECUCAO_DA_OBRA,DATA_CONCLUSAO_DA_OBRA,VALOR_CONTRATADO_OBRA,VALOR_APOS_ADITIVO
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Construção do Campus Cruzeiro do Sul - IFAC,593,Concluída,"100,00",15/03/2010,10/11/2010,"5.625.785,64","6.821.446,94"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Área de convivência e estúdio do Campus Cruzeiro do Sul,54184,Concluída,"100,00",08/10/2021,06/04/2022,"791.954,00","821.476,22"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,8445 - Reforma Bloco Administrativo atingido por incêndio,52566,Concluída,"100,00",12/12/2019,07/09/2020,"2.100.393,55","2.413.674,03"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,CONSTRUÇÃO DA UNIDADE DIDÁTICA EXPERIMENTAL CCS - 1ª FASE,51564,Concluída,"100,00",19/11/2017,18/05/2018,"281.989,90","326.256,62"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Construção Bloco de Laboratórios - CZS - 1ª Fase - Item 1,51662,Concluída,"100,00",22/01/2019,21/07/2019,"220.000,00","0,00"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Construção do Ginásio Poliesportivo Campus Cruzeiro do Sul,47673,Concluída,"100,00",18/06/2015,17/07/2016,"1.600.000,00","1.667.435,40"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Const. Bloco de Laboratórios - CZS - 1ª Fase - Itens 2 e 3,1201426322,Concluída,"100,00",16/01/2019,15/07/2019,"143.990,50","0,00"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,"8444 - Construção Rampa, galpão e cobertura passarelas",52568,Concluída,"100,00",12/12/2019,07/09/2020,"889.123,16","1.036.870,07"
AC,Cruzeiro do Sul,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Cruzeiro do Sul,Construção da Unidade Didática Experimental CCS - 2ª Fase,1201426508,Concluída,"100,00",17/10/2018,15/01/2019,"239.500,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,Construção do Ginásio Poliesportivo do Campus Rio Branco,47672,Concluída,"100,00",24/06/2015,23/07/2016,"1.587.000,00","1.744.663,45"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,Reforma do Refeitório do Campus Rio Branco,56793,Concluída,"100,00",03/01/2024,01/07/2024,"1.174.364,31","1.249.924,31"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,CONSTRUÇÃO DO CAMPUS RIO BRANCO - IFAC,592,Concluída,"100,00",10/10/2009,07/12/2010,"9.922.217,01","13.016.436,29"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,REFORMA E REESTRUTURAÇÃO DA BIBLIOTECA E REGISTRO ESCOLAR,51525,Concluída,"100,00",14/12/2017,14/03/2018,"265.085,45","265.085,45"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,Reforma do Campus Rio Branco,54013,Concluída,"100,00",15/12/2021,13/07/2022,"559.500,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,REFORMA DA INCUBAC - LABORATÓRIO IFMAKER,53776,Concluída,"100,00",21/10/2020,20/11/2020,"33.500,00","44.738,58"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,EXECUÇÃO DE OBRA  DE ADEQUAÇÃO NA ILUMINAÇÃO EXTERNA,53773,Concluída,"97,77",20/01/2021,06/03/2021,"106.648,99","95.978,86"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,Execução do SPDA no Campus Rio Branco,54541,Concluída,"100,00",15/12/2021,15/03/2022,"285.000,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,IMPLANTAÇÃO DE GERADORES DE ENERGIA SOLAR FOTOVOLTAICOS,53777,Concluída,"100,00",13/01/2020,09/10/2020,"1.196.679,04","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,Obra Emergencial de Contenção do Talude do Campus Rio Branco,32314,Concluída,"100,00",15/02/2013,14/08/2013,"2.815.500,34","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco,REFORMA DA GUARITA E ADEQUAÇÃO DA CIRCULAÇÃO DO ESTACIONAMEN,1201426302,Concluída,"100,00",07/02/2019,08/05/2019,"78.946,29","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Construção da Quadra Poliesportiva do Campus Baixada do Sol,54200,Concluída,"100,00",30/12/2021,26/10/2022,"1.420.000,00","1.497.854,52"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Execução do SPDA no Campus Agrícola Baixada do Sol,54540,Concluída,"100,00",15/12/2021,15/03/2022,"240.000,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Reestruturação do Campus Rio Branco Baixada do Sol - 4ª Fase,54201,Concluída,"100,00",30/12/2021,26/10/2022,"947.900,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,"REFORMA E ADAPTAÇÕES DO BLOCO \""E\"" DO CAMPUS RIO BRANCO",51524,Concluída,"100,00",20/12/2017,19/04/2018,"164.799,25","166.627,64"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Reforma do Campus Baixada do Sol (2ª FASE),53778,Concluída,"100,00",13/01/2020,12/04/2020,"453.449,99","496.290,04"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Reestruturação do Campus Rio Branco Baixada do Sol - 6ª Fase,56612,Concluída,"100,00",08/12/2023,05/07/2024,"986.390,15","1.022.529,74"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Subestação Aérea 225 KVA Campus Rio Branco Baixada do Sol,54203,Concluída,"100,00",30/12/2021,30/03/2022,"379.625,17","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,REFORMA E AMPLIAÇÃO DO CAMPUS BAIXADA DO SOL,1201426319,Concluída,"100,00",22/12/2018,20/06/2019,"527.066,02","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Rio Branco Baixada do Sol,Reforma do Campus Baixada do Sol (3ª FASE),53707,Concluída,"100,00",18/01/2021,01/06/2021,"416.608,42","416.585,87"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Xapuri,Reforma do Auditório do Campus Xapuri,53767,Concluída,"100,00",18/01/2021,18/05/2021,"459.000,00","417.844,15"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Reitoria do Instituto Federal do Acre,Construção da Sede Definitiva da Reitoria do IFAC - 2ª Fase,56495,Concluída,"100,00",20/10/2023,18/03/2024,"1.276.000,00","0,00"
AC,Rio Branco,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Reitoria do Instituto Federal do Acre,Construção da Sede Definitiva da Reitoria do IFAC,53097,Concluída,"100,00",08/08/2020,30/01/2022,"8.872.000,00","11.690.875,85"
AC,Sena Madureira,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Sena Madureira,Construção do Campus Sena Madureira - IFAC,594,Concluída,"99,86",04/03/2016,30/10/2016,"4.443.617,52","4.921.020,58"
AC,Sena Madureira,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Sena Madureira,Remanescente de Obra Unidade Didática Experimental CSM,1201426313,Concluída,"100,00",14/09/2022,13/03/2023,"631.759,53","730.124,98"
AC,Sena Madureira,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Sena Madureira,CONSTRUÇÃO DE DEPÓSITO E REFORMA DO CAMPUS SENA MADUREIRA,53770,Concluída,"100,00",08/01/2020,07/05/2020,"211.999,08","241.999,48"
AC,Sena Madureira,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Campus Sena Madureira,Construção do Bloco de Salas de Aula Campus Sena Madureira,51663,Concluída,"100,00",23/01/2019,22/07/2019,"542.553,87","0,00"
AC,Tarauacá,Educação Profissional,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,CAMPUS TARAUACÁ,CONSTRUÇÃO GINÁSIO POLIESPORTIVA CAMPUS TARAUACÁ - 1ª FASE,53312,Concluída,"100,00",03/08/2020,30/01/2021,"855.603,52","915.603,52"
