UNIDADE_ORCAMENTARIA,ACAO,GRUPO_DESPESA,DOTACAO_ATUALIZADA
26201 - Colégio Pedro II,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,64.519
26201 - Colégio Pedro II,20RI - Funcionamento das Instituições Federais de Educação Básica,3 - Outras Despesas Correntes,43.448.121
26201 - Colégio Pedro II,20RI - Funcionamento das Instituições Federais de Educação Básica,4 - Investimentos,5.127.809
26201 - Colégio Pedro II,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,9.311.738
26201 - Colégio Pedro II,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,232.500
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,10.500
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,73.659
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,8.853
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.352.588
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,28.682.495
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.294.715
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,676.800
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,7.213.828
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,180.092
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,17.100
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,106.386
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,4.544.637
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,41.477.494
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,8.564.148
26257 - Centro Federal de Educação Tecnológica de Minas Gerais,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,261.500
26402 - Instituto Federal de Alagoas,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,74.922
26402 - Instituto Federal de Alagoas,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,24.582.790
26402 - Instituto Federal de Alagoas,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,43.849.815
26402 - Instituto Federal de Alagoas,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,200.000
26402 - Instituto Federal de Alagoas,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,50.000
26402 - Instituto Federal de Alagoas,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,12.941.722
26403 - Instituto Federal do Amazonas,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,90.818
26403 - Instituto Federal do Amazonas,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,4.830.158
26403 - Instituto Federal do Amazonas,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,43.744.619
26403 - Instituto Federal do Amazonas,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,108.000
26403 - Instituto Federal do Amazonas,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,11.949.565
26403 - Instituto Federal do Amazonas,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,800.000
26404 - Instituto Federal Baiano,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,66.387
26404 - Instituto Federal Baiano,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,617.550
26404 - Instituto Federal Baiano,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,38.538.903
26404 - Instituto Federal Baiano,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.213.701
26404 - Instituto Federal Baiano,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,192.771
26404 - Instituto Federal Baiano,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,13.142.303
26404 - Instituto Federal Baiano,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,4 - Investimentos,978.750
26404 - Instituto Federal Baiano,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,596.583
26405 - Instituto Federal do Ceará,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,123.521
26405 - Instituto Federal do Ceará,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.464.867
26405 - Instituto Federal do Ceará,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,69.264.918
26405 - Instituto Federal do Ceará,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.053.789
26405 - Instituto Federal do Ceará,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,2.300.000
26405 - Instituto Federal do Ceará,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,43.200
26405 - Instituto Federal do Ceará,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,25.588.424
26405 - Instituto Federal do Ceará,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,755.684
26406 - Instituto Federal do Espírito Santo,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,100.059
26406 - Instituto Federal do Espírito Santo,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.661.833
26406 - Instituto Federal do Espírito Santo,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,61.537.701
