UNIDADE_ORCAMENTARIA_CODIGO,UNIDADE_ORCAMENTARIA_NOME,ORGAO_UGE_CODIGO,ORGAO_UGE_NOME,ACAO_GOVERNO_CODIGO,ACAO_GOVERNO_NOME,SALDO_MOEDA_ORIGEM
26101,MINISTERIO DA EDUCACAO,26427,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.465.539,87"
26101,MINISTERIO DA EDUCACAO,26427,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"739.917,27"
26101,MINISTERIO DA EDUCACAO,26428,"INST.FED.DE EDUC.,CIENC.E TEC.DE BRASILIA",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.601.295,01"
26101,MINISTERIO DA EDUCACAO,26429,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"6.297.503,23"
26101,MINISTERIO DA EDUCACAO,26429,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"182.213,72"
26101,MINISTERIO DA EDUCACAO,26430,"INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"3.437.106,87"
26101,MINISTERIO DA EDUCACAO,26431,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.514.340,53"
26101,MINISTERIO DA EDUCACAO,26432,INSTITUTO FEDERAL DO PARANA,15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.902.943,24"
26101,MINISTERIO DA EDUCACAO,26432,INSTITUTO FEDERAL DO PARANA,219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,0
26101,MINISTERIO DA EDUCACAO,26432,INSTITUTO FEDERAL DO PARANA,21D6,IMPLEMENTACAO DE CENTROS DE REFERENCIA DOS INSTITUTOS FEDERA,"1.027.880,28"
26101,MINISTERIO DA EDUCACAO,26433,"INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"307.407,36"
26101,MINISTERIO DA EDUCACAO,26434,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.342.085,68"
26101,MINISTERIO DA EDUCACAO,26434,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"94.366,80"
26101,MINISTERIO DA EDUCACAO,26434,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",21B3,"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E","700.000,00"
26101,MINISTERIO DA EDUCACAO,26435,"INST.FED.DE EDUC.,CIENC.E TEC.DO RN",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.337.401,68"
26101,MINISTERIO DA EDUCACAO,26435,"INST.FED.DE EDUC.,CIENC.E TEC.DO RN",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"2.966.378,98"
26101,MINISTERIO DA EDUCACAO,26436,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.116.028,48"
26101,MINISTERIO DA EDUCACAO,26436,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"804.430,00"
26101,MINISTERIO DA EDUCACAO,26437,"INST.FED.DE EDUC.,CIENC.E TEC.DE RORAIMA",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"3.084.870,36"
26101,MINISTERIO DA EDUCACAO,26438,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"3.552.471,65"
26101,MINISTERIO DA EDUCACAO,26438,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"1.314.956,92"
26101,MINISTERIO DA EDUCACAO,26438,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA",21B3,"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E","349.999,32"
26101,MINISTERIO DA EDUCACAO,26439,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"22.903.727,95"
26101,MINISTERIO DA EDUCACAO,26439,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"1.023.990,30"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26243,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"4.071.885,29"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26247,UNIVERSIDADE FEDERAL DE SANTA MARIA,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"240.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26248,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"3.371.954,86"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26250,UNIVERSIDADE FEDERAL DE RORAIMA,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,0
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26254,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"355.200,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26282,UNIVERSIDADE FEDERAL DE VICOSA,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.410.464,49"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26402,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.049.600,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26403,"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.213.600,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26405,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"169.638,63"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26406,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"1.900.244,49"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26408,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"3.982.506,97"
