UNIDADE_ORCAMENTARIA,ACAO_GOVERNO,GRUPO_DESPESA,LIQUIDACOES_TOTAIS
26430,2004,3,"2.171.108,78"
26430,2994,3,"5.031.829,50"
26430,4572,3,"228.971,47"
26418,5,1,"19.859.455,36"
26418,5,3,"611.582,17"
26418,00PI,3,"722.482,33"
26418,00PW,3,"79.328,00"
26418,09HB,1,"68.961.514,97"
26418,15R4,4,"2.897.227,84"
26418,15R4,4,"805.027,78"
26418,20RG,3,"180.440,20"
26418,20RG,4,"1.066.395,09"
26418,20RL,3,"47.220.622,68"
26418,20RL,4,"6.758.691,54"
26418,20RL,33914712,"2.700,99"
26418,20TP,1,"337.235.409,90"
26418,21B4,3,"355.159,72"
26418,181,1,"119.297.946,40"
26418,212B,3,"17.462.651,20"
26418,216H,3,"73.156,54"
26418,219U,3,"35.913,90"
26418,2004,3,"5.433.804,29"
26418,2994,3,"15.932.610,84"
26418,4572,3,"388.140,60"
26431,5,1,"3.695.427,84"
26431,00PI,3,"699.519,05"
26431,00PW,3,"32.520,00"
26431,09HB,1,"61.631.120,20"
26431,15R4,4,"3.075.653,54"
26431,20RG,4,"1.374.614,25"
26431,20RL,3,"46.101.503,18"
26431,20RL,33914712,"26.917,33"
26431,20TP,1,"318.410.133,30"
26431,21B3,3,"68.336,20"
26431,21B4,3,"1.671.423,56"
26431,181,1,"49.170.130,68"
26431,212B,3,"15.603.655,51"
26431,216H,3,"10.000,00"
26431,219U,4,"26.700,00"
26431,2004,3,"5.733.322,63"
26431,2994,3,"13.526.256,59"
26431,4572,3,"420.772,86"
26435,5,1,"2.444.533,48"
26435,5,3,"11.611,58"
26435,00PI,3,"1.002.186,54"
26435,00PW,3,"84.132,00"
26435,09HB,1,"82.537.061,88"
26435,15R4,4,"519.040,77"
26435,15R4,4,"1.198.004,91"
26435,20RG,4,"3.128.811,08"
26435,20RH,3,"161.446,90"
26435,20RL,3,"61.115.394,72"
26435,20RL,4,"8.737.609,12"
26435,20RL,33914712,"14.565,01"
26435,20TP,1,"415.857.239,10"
26435,21B4,3,"1.200.000,00"
26435,181,1,"77.536.626,67"
26435,212B,3,"23.204.702,25"
26435,219U,3,"3.271.042,63"
26435,219U,4,"25.560,00"
26435,2004,3,"7.412.581,01"
26435,2994,3,"20.231.591,59"
26435,2994,4,"52.539,06"
26435,4572,3,"2.671.843,61"
26423,5,1,"4.087.927,25"
26423,00PI,3,"132.233,59"
26423,00PW,3,"41.376,18"
26423,09HB,1,"31.724.289,18"
26423,15R4,4,"686.882,13"
26423,20RL,3,"25.556.343,82"
26423,20RL,4,"1.262.349,41"
26423,20RL,33914712,"1.560,50"
26423,20TP,1,"168.820.381,50"
26423,21B4,3,"106.446,11"
26423,181,1,"53.720.206,63"
26423,212B,3,"9.382.324,96"
26423,219U,3,"4.448,91"
26423,2004,3,"2.632.345,89"
26423,2994,3,"3.811.087,48"
26423,4572,3,"192.491,50"
26401,5,1,"494.130,96"
26401,5,3,"109.161,11"
26401,00PW,3,"27.463,90"
26401,09HB,1,"17.226.592,82"
26401,15R4,4,"2.252.267,74"
26401,20RG,4,"7.705.812,89"
26401,20RL,3,"13.856.761,55"
26401,20RL,4,"2.965.022,02"
26401,20RL,33914712,"204,13"
26401,20TP,1,"90.996.312,00"
26401,21B3,3,"433.506,92"
26401,21B4,3,"1.132.516,88"
26401,181,1,"743.716,10"
26401,212B,3,"4.921.132,90"
26401,216H,3,"9.000,00"
26401,219U,3,"559.500,00"
26401,219U,4,"1.365,00"
26401,2004,3,"577.386,99"
