SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFPR,Instituto Federal do Paraná,Campus Jacarezinho,2010,PR,Jacarezinho,-23.1591,-49.9739
IFBA,Instituto Federal da Bahia,Campus Jequié,2010,BA,Jequié,-13.8509,-40.0877
IFRO,Instituto Federal de Rondônia,Campus Ji-Paraná,2010,RO,Ji-Paraná,-10.8777,-61.9322
IFMT,Instituto Federal de Mato Grosso,Campus Juína,2010,MT,Juína,-11.3728,-58.7483
IF Farroupilha,Instituto Federal Farroupilha,Campus Júlio de Castilhos,2010,RS,Júlio de Castilhos,-29.2299,-53.6772
IFAM,Instituto Federal do Amazonas,Campus Lábrea,2010,AM,Lábrea,-7.26413,-64.7948
IFSC,Instituto Federal de Santa Catarina,Campus Lages,2010,SC,Lages,-27.815,-50.3259
IFAP,Instituto Federal do Amapá,Campus Laranjal do Jari,2010,AP,Laranjal do Jari,-0.804911,-52.453
IFG,Instituto Federal de Goiás,Campus Luziânia,2010,GO,Luziânia,-16.253,-47.95
IFAP,Instituto Federal do Amapá,Campus Macapá,2010,AP,Macapá,0.034934,-51.0694
IFPA,Instituto Federal do Pará,Campus Marabá Rural,2010,PA,Marabá,-5.38075,-49.1327
IFAM,Instituto Federal do Amazonas,Campus Maués,2010,AM,Maués,-3.39289,-57.7067
IFPB,Instituto Federal da Paraíba,Campus Monteiro,2010,PB,Monteiro,-7.88363,-37.1184
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Montes Claros,2010,MG,Montes Claros,-16.7282,-43.8578
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Muriaé,2010,MG,Muriaé,-21.13,-42.3693
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Nova Andradina,2010,MS,Nova Andradina,-22.238,-53.3437
IFRS,Instituto Federal do Rio Grande do Sul,Campus Osório,2010,RS,Osório,-29.8881,-50.2667
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Ouricuri,2010,PE,Ouricuri,-7.87918,-40.08
IF Farroupilha,Instituto Federal Farroupilha,Campus Panambi,2010,RS,Panambi,-28.2833,-53.5023
IFTM,Instituto Federal do Triângulo Mineiro,Campus Paracatu,2010,MG,Paracatu,-17.2252,-46.8711
IFPR,Instituto Federal do Paraná,Campus Paranavaí,2010,PR,Paranavaí,-23.0816,-52.4617
IFAM,Instituto Federal do Amazonas,Campus Parintins,2010,AM,Parintins,-2.63741,-56.729
IFPB,Instituto Federal da Paraíba,Campus Patos,2010,PB,Patos,-7.01743,-37.2747
IFPI,Instituto Federal do Piauí,Campus Paulistana,2010,PI,Paulistana,-8.13436,-41.1431
IFBA,Instituto Federal da Bahia,Campus Paulo Afonso,2010,BA,Paulo Afonso,-9.3983,-38.2216
IFAL,Instituto Federal de Alagoas,Campus Penedo,2010,AL,Penedo,-10.2874,-36.5819
IFPB,Instituto Federal da Paraíba,Campus Picuí,2010,PB,Picuí,-6.50845,-36.3497
IFMA,Instituto Federal do Maranhão,Campus Pinheiro,2010,MA,Pinheiro,-2.52224,-45.0788
IFSP,Instituto Federal de São Paulo,Campus Piracicaba,2010,SP,Piracicaba,-22.7338,-47.6476
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Pirapora,2010,MG,Pirapora,-17.3392,-44.934
IFPI,Instituto Federal do Piauí,Campus Piripiri,2010,PI,Piripiri,-4.27157,-41.7716
IFRS,Instituto Federal do Rio Grande do Sul,Campus Porto Alegre Restinga,2010,RS,Porto Alegre,-30.0318,-51.2065
IFTO,Instituto Federal do Tocantins,Campus Porto Nacional,2010,TO,Porto Nacional,-10.7027,-48.408
IFRO,Instituto Federal de Rondônia,Campus Porto Velho Zona Norte,2010,RO,Porto Velho,-8.76077,-63.8999
IFSP,Instituto Federal de São Paulo,Campus Presidente Epitácio,2010,SP,Presidente Epitácio,-21.7651,-52.1111
IFAM,Instituto Federal do Amazonas,Campus Presidente Figueiredo,2010,AM,Presidente Figueiredo,-2.02981,-60.0234
IFPB,Instituto Federal da Paraíba,Campus Princesa Isabel,2010,PB,Princesa Isabel,-7.73175,-37.9886
IFSP,Instituto Federal de São Paulo,Campus Registro,2010,SP,Registro,-24.4979,-47.8449
IFAC,Instituto Federal do Acre,Campus Rio Branco,2010,AC,Rio Branco,-15.2483,-58.1259
IFAC,Instituto Federal do Acre,Campus Rio Branco,2010,AC,Rio Branco,-9.97499,-67.8243
CPII,Colégio Pedro II,Campus Realengo I,2010,RJ,Rio de Janeiro,-22.9129,-43.2003
IFRJ,Instituto Federal do Rio de Janeiro,Campus Realengo,2010,RJ,Rio de Janeiro,-22.9129,-43.2003
IFMT,Instituto Federal de Mato Grosso,Campus Rondonópolis,2010,MT,Rondonópolis,-16.4673,-54.6372
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Salgueiro,2010,PE,Salgueiro,-8.07373,-39.1247
IFMA,Instituto Federal do Maranhão,Campus Santa Inês - IFMA,2010,MA,Santa Inês,-13.2793,-39.814
IFMA,Instituto Federal do Maranhão,Campus Santa Inês - IFMA,2010,MA,Santa Inês,-22.6376,-51.9024
IFMA,Instituto Federal do Maranhão,Campus Santa Inês - IFMA,2010,MA,Santa Inês,-7.621,-38.554
IFMA,Instituto Federal do Maranhão,Campus Santa Inês - IFMA,2010,MA,Santa Inês,-3.65112,-45.3774
IF Farroupilha,Instituto Federal Farroupilha,Campus Santa Rosa,2010,RS,Santa Rosa,-27.8702,-54.4796
IFPA,Instituto Federal do Pará,Campus Santarém,2010,PA,Santarém,-2.43849,-54.6996
IF Farroupilha,Instituto Federal Farroupilha,Campus São Borja,2010,RS,São Borja,-28.6578,-56.0036
IFRJ,Instituto Federal do Rio de Janeiro,Campus São Gonçalo,2010,RJ,São Gonçalo,-22.8268,-43.0634
IFMA,Instituto Federal do Maranhão,Campus São João dos Patos,2010,MA,São João dos Patos,-6.4934,-43.7036
IFMA,Instituto Federal do Maranhão,Campus São Luís Centro Histórico,2010,MA,São Luís,-2.53874,-44.2825
IFSC,Instituto Federal de Santa Catarina,Campus São Miguel do Oeste,2010,SC,São Miguel do Oeste,-26.7242,-53.5163
IFMA,Instituto Federal do Maranhão,Campus São Raimundo das Mangabeiras,2010,MA,São Raimundo das Mangabeiras,-7.02183,-45.4809
IFPI,Instituto Federal do Piauí,Campus São Raimundo Nonato,2010,PI,São Raimundo Nonato,-9.01241,-42.6987
IFBA,Instituto Federal da Bahia,Campus Seabra,2010,BA,Seabra,-12.4169,-41.7722
IFAC,Instituto Federal do Acre,Campus Sena Madureira,2010,AC,Sena Madureira,-9.06596,-68.6571
IFSP,Instituto Federal de São Paulo,Campus Suzano,2010,SP,Suzano,-23.5448,-46.3112
IFAM,Instituto Federal do Amazonas,Campus Tabatinga,2010,AM,Tabatinga,-21.7239,-48.6896
IFAM,Instituto Federal do Amazonas,Campus Tabatinga,2010,AM,Tabatinga,-4.2416,-69.9383
IF Baiano,Instituto Federal Baiano,Campus Teixeira de Freitas,2010,BA,Teixeira de Freitas,-17.5399,-39.74
IFPR,Instituto Federal do Paraná,Campus Telêmaco Borba,2010,PR,Telêmaco Borba,-24.3245,-50.6176
IFPI,Instituto Federal do Piauí,Campus Teresina Zona Sul,2010,PI,Teresina,-5.09194,-42.8034
IFMA,Instituto Federal do Maranhão,Campus Timon,2010,MA,Timon,-5.09769,-42.8329
IFTM,Instituto Federal do Triângulo Mineiro,Campus Uberlândia,2010,MG,Uberlândia,-18.9141,-48.2749
IFPR,Instituto Federal do Paraná,Campus Umuarama,2010,PR,Umuarama,-23.7656,-53.3201
IFPI,Instituto Federal do Piauí,Campus Uruçuí,2010,PI,Uruçuí,-7.23944,-44.5577
IF Baiano,Instituto Federal Baiano,Campus Valença,2010,BA,Valença,-13.3669,-39.073
IF Baiano,Instituto Federal Baiano,Campus Valença,2010,BA,Valença,-22.2445,-43.7129
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Varginha,2010,MG,Varginha,-21.5556,-45.4364
IFC,Instituto Federal Catarinense,Campus Videira,2010,SC,Videira,-27.0086,-51.1543
IFES,Instituto Federal do Espírito Santo,Campus Vila Velha,2010,ES,Vila Velha,-20.3417,-40.2875
IFRO,Instituto Federal de Rondônia,Campus Vilhena,2010,RO,Vilhena,-12.7502,-60.1488
IFSP,Instituto Federal de São Paulo,Campus Votuporanga,2010,SP,Votuporanga,-20.4237,-49.9781
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Aquidauana,2011,MS,Aquidauana,-20.4666,-55.7868
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Campo Grande,2011,MS,Campo Grande,-9.95542,-36.7926
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Campo Grande,2011,MS,Campo Grande,-20.4486,-54.6295
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Corumbá,2011,MS,Corumbá,-19.0077,-57.651
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Coxim,2011,MS,Coxim,-18.5013,-54.751
IFBA,Instituto Federal da Bahia,Campus Feira de Santana,2011,BA,Feira de Santana,-12.2664,-38.9663
IFBA,Instituto Federal da Bahia,Campus Ilhéus,2011,BA,Ilhéus,-14.793,-39.046
IFBA,Instituto Federal da Bahia,Campus Jacobina,2011,BA,Jacobina,-11.1812,-40.5117
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Ponta Porã,2011,MS,Ponta Porã,-22.5296,-55.7203
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Três Lagoas,2011,MS,Três Lagoas,-20.7849,-51.7007
IF Baiano,Instituto Federal Baiano,Campus Uruçuca,2011,BA,Uruçuca,-14.5963,-39.2851
IFSul,Instituto Federal Sul-rio-grandense,Campus Venâncio Aires,2011,RS,Venâncio Aires,-29.6143,-52.1932
IFG,Instituto Federal de Goiás,Campus Aparecida de Goiânia,2012,GO,Aparecida de Goiânia,-16.8198,-49.2469
CPII,Colégio Pedro II,Campus Duque de Caxias CP,2012,RJ,Duque de Caxias,-22.7858,-43.3049
IFG,Instituto Federal de Goiás,Campus Cidade de Goiás,2012,GO,Goiás,-15.9333,-50.14
IFAL,Instituto Federal de Alagoas,Campus Piranhas,2012,AL,Piranhas,-9.624,-37.757
IFAL,Instituto Federal de Alagoas,Campus Piranhas,2012,AL,Piranhas,-16.4258,-51.8235
IFCE,Instituto Federal do Ceará,Campus Aracati,2013,CE,Aracati,-4.55826,-37.7679
IFRJ,Instituto Federal do Rio de Janeiro,Campus Arraial do Cabo,2013,RJ,Arraial do Cabo,-22.9774,-42.0267
IFPR,Instituto Federal do Paraná,Campus Assis Chateaubriand,2013,PR,Assis Chateaubriand,-24.4168,-53.5213
IFCE,Instituto Federal do Ceará,Campus Baturité,2013,CE,Baturité,-4.32598,-38.8812
IFMG,Instituto Federal de Minas Gerais,Campus Betim,2013,MG,Betim,-19.9668,-44.2008
IFC,Instituto Federal Catarinense,Campus Blumenau,2013,SC,Blumenau,-26.9155,-49.0709
IFRR,Instituto Federal de Roraima,Campus Boa Vista Zona Oeste,2013,RR,Boa Vista,2.82384,-60.6753
IFRR,Instituto Federal de Roraima,Campus Boa Vista Zona Oeste,2013,RR,Boa Vista,-7.26365,-36.2357
IFSP,Instituto Federal de São Paulo,Campus Boituva,2013,SP,Boituva,-23.2855,-47.6786
IFB,Instituto Federal de Brasília,Campus Ceilândia,2013,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Estrutural,2013,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Recanto das Emas,2013,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Riacho Fundo,2013,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus São Sebastião,2013,DF,Brasília,-15.7795,-47.9297
IFPA,Instituto Federal do Pará,Campus Breves,2013,PA,Breves,-1.68036,-50.4791
IFBA,Instituto Federal da Bahia,Campus Brumado,2013,BA,Brumado,-14.2021,-41.6696
IFC,Instituto Federal Catarinense,Campus Brusque,2013,SC,Brusque,-27.0977,-48.9107
IFPE,Instituto Federal de Pernambuco,Campus Cabo de Santo Agostinho,2013,PE,Cabo de Santo Agostinho,-8.28218,-35.0253
IFSC,Instituto Federal de Santa Catarina,Campus Caçador,2013,SC,Caçador,-26.7757,-51.012
IFRO,Instituto Federal de Rondônia,Campus Cacoal,2013,RO,Cacoal,-11.4343,-61.4562
IFCE,Instituto Federal do Ceará,Campus Camocim,2013,CE,Camocim,-2.9005,-40.8544
IFPR,Instituto Federal do Paraná,Campus Campo Largo,2013,PR,Campo Largo,-25.4525,-49.529
IFRN,Instituto Federal do Rio Grande do Norte,Campus Canguaretama,2013,RN,Canguaretama,-6.37193,-35.1281
IFSP,Instituto Federal de São Paulo,Campus Capivari,2013,SP,Capivari,-22.9951,-47.5071
IFCE,Instituto Federal do Ceará,Campus Caucaia,2013,CE,Caucaia,-3.72797,-38.6619
IFRN,Instituto Federal do Rio Grande do Norte,Campus Ceará-Mirim,2013,RN,Ceará-Mirim,-5.64323,-35.4247
IFMA,Instituto Federal do Maranhão,Campus Coelho Neto,2013,MA,Coelho Neto,-4.25245,-43.0108
IFTO,Instituto Federal do Tocantins,Campus Dianópolis,2013,TO,Dianópolis,-11.624,-46.8198
IFRJ,Instituto Federal do Rio de Janeiro,Campus Engenheiro Paulo de Frontin,2013,RJ,Engenheiro Paulo de Frontin,-22.5498,-43.6827
IFRS,Instituto Federal do Rio Grande do Sul,Campus Farroupilha,2013,RS,Farroupilha,-29.2227,-51.3419
IFRS,Instituto Federal do Rio Grande do Sul,Campus Feliz,2013,RS,Feliz,-29.4527,-51.3032
IFC,Instituto Federal Catarinense,Campus Fraiburgo,2013,SC,Fraiburgo,-27.0233,-50.92
IFSC,Instituto Federal de Santa Catarina,Campus Garopaba,2013,SC,Garopaba,-28.0275,-48.6192
IF Baiano,Instituto Federal Baiano,Campus Governador Mangabeira,2013,BA,Governador Mangabeira,-12.5994,-39.0412
IFMA,Instituto Federal do Maranhão,Campus Grajaú,2013,MA,Grajaú,-5.81367,-46.1462
IFSul,Instituto Federal Sul-rio-grandense,Campus Gravataí,2013,RS,Gravataí,-29.9413,-50.9869
IFPB,Instituto Federal da Paraíba,Campus Guarabira,2013,PB,Guarabira,-6.85064,-35.485
IFES,Instituto Federal do Espírito Santo,Campus Guarapari,2013,ES,Guarapari,-20.6772,-40.5093
IFAM,Instituto Federal do Amazonas,Campus Humaitá,2013,AM,Humaitá,-27.5691,-53.9695
IFAM,Instituto Federal do Amazonas,Campus Humaitá,2013,AM,Humaitá,-7.51171,-63.0327
IFC,Instituto Federal Catarinense,Campus Ibirama,2013,SC,Ibirama,-27.0547,-49.5193
IFRS,Instituto Federal do Rio Grande do Sul,Campus Ibirubá,2013,RS,Ibirubá,-28.6302,-53.0961
IFPR,Instituto Federal do Paraná,Campus Irati,2013,PR,Irati,-25.4697,-50.6493
